time,id,x,y,energy,salt_need,alive,consumed_salt_id
2,8,42,12,0.9827034975589681,0.40248410496346554,True,
2,9,38,16,0.9767904865418093,0.5510506586006688,True,
2,10,28,25,1.0,0.0,True,8.0
2,11,65,23,0.9809420612700512,0.4027081678712745,True,
2,14,45,14,1.0,0.0,True,3.0
2,18,41,30,0.9761679797177192,0.5571401594326494,True,
2,19,3,63,0.9850845459885246,0.40689377300682295,True,
2,20,56,55,0.9785005832289757,0.5429785681287492,True,
2,21,91,93,0.9821464067320522,0.49230132082259004,True,
2,25,44,12,1.0,0.0,True,3.0
2,27,93,81,0.9795482899039418,0.4953834235389641,True,
2,30,66,47,0.9780784991966572,0.48138313354305506,True,
2,31,12,13,1.0,0.0,True,12.0
2,32,38,40,1.0,0.0,True,6.0
2,34,53,36,1.0,0.0,True,9.0
