time,id,x,y,energy,salt_need,alive,consumed_salt_id
1,20,53,53,0.9856545532097452,0.49754983364241023,True,
1,22,48,47,0.9859962794789869,0.3622909635107261,True,
1,23,73,73,0.98679391818847,0.44050108367342644,True,
1,25,10,7,0.9889317189531961,0.4696905980490136,True,
1,27,14,57,0.9847523089864808,0.29571203419390313,True,
1,29,11,47,0.9863147417100184,0.4135987105222614,True,
1,30,32,20,1.0,0.0,True,8.0
1,32,20,74,0.9864175502663791,0.4602359508797733,True,
1,34,43,59,0.9852458616206258,0.5117551123909476,True,
1,35,17,84,0.987666154841427,0.4714991973848573,True,
1,38,76,69,0.989090913324632,0.3772186167716242,True,
1,39,58,21,0.9846010230066541,0.32758326844321206,True,
1,40,72,70,0.9879495885017335,0.49938213014046695,True,
1,43,54,25,1.0,0.0,True,2.0
1,44,1,27,0.9875194783642205,0.3386961187631706,True,
1,45,10,95,0.9872194699408587,0.36561704925867655,True,
1,46,5,68,0.9858997525495156,0.4217314951964001,True,
1,47,44,46,0.9865593343061761,0.3632148573331026,True,
1,48,48,85,0.9874737677397775,0.4900030416340555,True,
1,50,7,44,0.9901292089141646,0.30876276663338226,True,
1,51,4,22,0.9888680080401945,0.3378504590845465,True,
1,53,86,73,0.9863170257600515,0.36941698180894944,True,
1,55,53,86,0.9896701661203792,0.3035243776680245,True,
1,56,5,23,0.9843853732282879,0.3776581940397544,True,
1,57,2,22,0.9913949192239915,0.4097197583727626,True,
1,58,71,88,0.9906575561289763,0.4686738080812226,True,
2,1,8,50,0.9807860425255187,0.454857255551241,True,
2,4,35,40,0.9780072519195936,0.42256482606692336,True,
2,5,34,44,0.9812666027031912,0.37721561808165427,True,
2,6,43,63,0.9819444704259077,0.5544930368316894,True,
2,8,26,87,1.0,0.0,True,7.0
2,9,12,47,0.9814086628022191,0.5572612298994444,True,
2,10,10,82,0.9809687889250963,0.44455761423519446,True,
2,12,70,85,0.9844927459136464,0.4753489047223746,True,
2,13,40,26,0.9782540141988005,0.4159674027132597,True,
2,14,75,80,0.97936856819979,0.4338807465202049,True,
2,15,4,88,0.9781956686345581,0.4239583521102598,True,
2,16,26,66,1.0,0.0,True,1.0
2,17,26,21,0.9837773848807372,0.352592155528357,True,
2,19,86,58,0.9838530664565371,0.5498677600446481,True,
2,22,48,45,0.9788478852615123,0.3822909635107261,True,
2,23,72,72,0.9788445173163985,0.46050108367342646,True,
2,25,11,6,0.9833997677790773,0.4896905980490136,True,
2,27,14,56,0.9786506694712368,0.31571203419390315,True,
2,29,13,49,0.9784680724275734,0.4335987105222614,True,
2,30,32,21,1.0,0.0,True,8.0
2,32,20,73,0.9805460808157906,0.48023595087977333,True,
2,34,43,60,0.9776857478684092,0.5317551123909476,True,
2,38,74,69,0.9826347428972384,0.39721861677162423,True,
2,39,58,23,0.9765425273048386,0.3475832684432121,True,
2,40,71,68,0.979821474343893,0.519382130140467,True,
2,43,56,25,1.0,0.0,True,2.0
2,44,3,27,0.9828257622576635,0.3586961187631706,True,
2,46,6,67,0.980140032301839,0.4417314951964001,True,
2,47,44,45,0.9807288595785555,0.3832148573331026,True,
2,48,48,84,0.9794155698259434,0.5100030416340555,True,
2,50,7,45,0.9836900056062627,0.3287627666333823,True,
2,51,4,23,0.9848419448363768,0.3578504590845465,True,
2,53,84,73,0.9814420560848965,0.38941698180894946,True,
